PicklesName,SpecType,Teff,g-g,g-r,i-i,i-z,logg,r-i,r-r,u-g,u-u,z-z
,,12250.0,0.0,-0.2289245915196858,0.0,-0.25437028444567034,7.25,-0.23597940418824948,0.0,0.5111202379972042,0.0,0.0
,,12000.0,0.0,-0.23306001308789348,0.0,-0.24940770427437542,7.0,-0.23536587864938951,0.0,0.562316106555393,0.0,0.0
,,15750.0,0.0,-0.3066269554190342,0.0,-0.28975834098555,7.75,-0.27943927860738427,0.0,0.22995155088626262,0.0,0.0
,,10250.0,0.0,-0.12949261968750392,0.0,-0.21412326040526608,7.0,-0.17669824418690183,0.0,0.5823181419475532,0.0,0.0
,,11000.0,0.0,-0.13946451734847898,0.0,-0.2319196726647661,7.75,-0.18643550352120997,0.0,0.4276779285952941,0.0,0.0
,,27000.0,0.0,-0.44202661167540214,0.0,-0.34042502379323025,8.25,-0.3473889768662275,0.0,-0.23308408087003585,0.0,0.0
,,11000.0,0.0,-0.17943623156649124,0.0,-0.23389062249707138,7.0,-0.20720523857540485,0.0,0.5900287401361837,0.0,0.0
,,14000.0,0.0,-0.29748618442075525,0.0,-0.2707775783061379,7.0,-0.2677892622778941,0.0,0.40700982526423246,0.0,0.0
,,35000.0,0.0,-0.49229643244718346,0.0,-0.3543704545564026,8.5,-0.36902943818422784,0.0,-0.38967401025606563,0.0,0.0
,,45000.0,0.0,-0.518521573681312,0.0,-0.3588932628940853,8.5,-0.3796372632938514,0.0,-0.4472014533074997,0.0,0.0
,,9500.0,0.0,-0.09347766749461783,0.0,-0.18698805577366073,6.5,-0.15090604909601524,0.0,0.6635214061481349,0.0,0.0
,,18500.0,0.0,-0.38181111536474077,0.0,-0.2967534258086033,6.75,-0.3083621781081405,0.0,0.12704437651685652,0.0,0.0
,,12000.0,0.0,-0.12920310883794173,0.0,-0.23996123153906979,9.5,-0.17309944072670191,0.0,0.12591341754754382,0.0,0.0
,,14000.0,0.0,-0.21989128037412797,0.0,-0.2764987452721641,8.5,-0.2409314957193729,0.0,0.21907783699749217,0.0,0.0
,,29000.0,0.0,-0.4649139569997587,0.0,-0.3453106903462384,8.0,-0.35710768838736584,0.0,-0.27465363912053675,0.0,0.0
,,12750.0,0.0,-0.2035158126151444,0.0,-0.26275332528499007,8.0,-0.22887342500519026,0.0,0.3501562768121218,0.0,0.0
,,18500.0,0.0,-0.3465935162604268,0.0,-0.306059687649487,8.0,-0.30069437552666045,0.0,0.06592780872890813,0.0,0.0
,,18000.0,0.0,-0.36259925906999513,0.0,-0.2981717874054297,7.25,-0.3025156710231869,0.0,0.13315220627769975,0.0,0.0
,,17500.0,0.0,-0.33916442342699327,0.0,-0.2994751509369564,7.75,-0.29506145700391784,0.0,0.13126146192041688,0.0,0.0
,,17750.0,0.0,-0.35141376770776134,0.0,-0.29889349684166433,7.5,-0.29899206219801755,0.0,0.13329738567393434,0.0,0.0
,,8750.0,0.0,0.0040375763388809105,0.0,-0.13984986051809756,7.25,-0.08442110374221556,0.0,0.46728985624051234,0.0,0.0
,,6250.0,0.0,0.33483034923499844,0.0,-0.0034426746284950127,9.5,0.09984212009437243,0.0,0.8383862760143757,0.0,0.0
,,22000.0,0.0,-0.3638096104797981,0.0,-0.3258844769351654,9.0,-0.3142562843004697,0.0,-0.13485378961505035,0.0,0.0
,,29000.0,0.0,-0.4692154343329804,0.0,-0.34448157601246976,7.75,-0.35831126981872075,0.0,-0.26592207814990587,0.0,0.0
,,18000.0,0.0,-0.30877104198592775,0.0,-0.30794326235868397,8.75,-0.2882795180373492,0.0,0.030092327511951567,0.0,0.0
,,16500.0,0.0,-0.3306819844373976,0.0,-0.2921956999346662,7.5,-0.2888000020118042,0.0,0.20277840144331805,0.0,0.0
,,8250.0,0.0,0.05188381246347973,0.0,-0.11305328194941211,7.25,-0.05376259901243685,0.0,0.45219408604554445,0.0,0.0
,,9000.0,0.0,0.003956188380648484,0.0,-0.14190672046370878,8.5,-0.07928410584090528,0.0,0.30968413144064755,0.0,0.0
,,34000.0,0.0,-0.5004196684971944,0.0,-0.3518973477744538,7.5,-0.371645978527944,0.0,-0.35720058384068665,0.0,0.0
,,18250.0,0.0,-0.280938552713053,0.0,-0.31068742159687446,9.5,-0.2773223845618702,0.0,-0.05506794567169493,0.0,0.0
,,17750.0,0.0,-0.2703864112799863,0.0,-0.30714618876534416,9.5,-0.27156682788317,0.0,-0.04059537897981613,0.0,0.0
,,80000.0,0.0,-0.5545985752332285,0.0,-0.365123259411682,7.75,-0.3945207592034663,0.0,-0.5052241401566278,0.0,0.0
,,13750.0,0.0,-0.30943646540337966,0.0,-0.26293022962966006,6.5,-0.26912186627225054,0.0,0.45710628094746397,0.0,0.0
,,13250.0,0.0,-0.23799498643467132,0.0,-0.26883795551288614,7.75,-0.24593938102208313,0.0,0.38196389702960687,0.0,0.0
,,11750.0,0.0,-0.18967590249465616,0.0,-0.2486324862008047,7.5,-0.21712365356903973,0.0,0.4754360629864749,0.0,0.0
,,24000.0,0.0,-0.37610977397153533,0.0,-0.3350474281481368,9.5,-0.3200029009462,0.0,-0.2254215743294452,0.0,0.0
,,16750.0,0.0,-0.3507709403464574,0.0,-0.2891726038981872,7.0,-0.2944053880471742,0.0,0.21492908378700548,0.0,0.0
,,10500.0,0.0,-0.1337209552894052,0.0,-0.2209859127497822,7.25,-0.1805489157881155,0.0,0.531700934148148,0.0,0.0
